Player	Age	Tm	Pos	GP	G	A	PTS	+/-	PIM
Filip Hronek	22	DET	D	65	9	22	31	-38	46
Jonathan Huberdeau	26	FLA	LW	69	23	55	78	5	30
Charles Hudon	25	MTL	LW	15	1	1	2	-9	0
Cameron Hughes	23	BOS	C	1	0	0	0	-1	0
Jack Hughes	18	NJD	C	61	7	14	21	-26	10
Quinn Hughes	20	VAN	D	68	8	45	53	-10	22
Brad Hunt	31	MIN	D	59	8	11	19	-7	6
Dryden Hunt	24	FLA	LW	21	0	4	4	0	24
Ben Hutton	26	LAK	D	65	4	12	16	5	14
Zach Hyman	27	TOR	C	51	21	16	37	13	23
Alex Iafallo	26	LAK	C	70	17	26	43	1	14
Matt Irwin	32	TOT	D	36	0	3	3	-15	15
Matt Irwin	32	NSH	D	27	0	2	2	-8	11
Matt Irwin	32	ANA	D	9	0	1	1	-7	4
Joshua Jacobs	23	NJD	D	2	0	0	0	1	2
Mark Jankowski	25	CGY	C	56	5	2	7	-12	14
Mattias Janmark	27	DAL	C	62	6	15	21	-5	12
Calle Jarnkrok	28	NSH	C	64	15	19	34	4	14
Christian Jaros	23	OTT	D	13	0	3	3	-2	6
Boone Jenner	26	CBJ	C	70	11	13	24	-14	36
Nick Jensen	29	WSH	D	68	0	8	8	1	13
Ryan Johansen	27	NSH	C	68	14	22	36	-5	45
Marcus Johansson	29	BUF	C	60	9	21	30	-12	20
Stephen Johns	27	DAL	D	17	2	3	5	0	10
Adam Johnson	25	PIT	C	7	1	1	2	-1	2
Erik Johnson	31	COL	D	59	3	13	16	9	20
Jack Johnson	33	PIT	D	67	3	8	11	-1	26
Luke Johnson	25	MIN	C	3	0	0	0	-3	0
Tyler Johnson	29	TBL	C	65	14	17	31	9	16
Andreas Johnsson	25	TOR	LW	43	8	13	21	0	14
Ross Johnston	25	NYI	LW	32	3	1	4	1	78
Henri Jokiharju	20	BUF	D	69	4	11	15	-6	32
Caleb Jones	22	EDM	D	43	4	5	9	-1	10
